contribution,amount,pay_period
FICA/Social Security (OASDI),123.95,"2014,14"
Medicare Tax,28.99,"2014,14"
Retirement,191.92,"2014,14"
Non-Federal Retirement,0,"2014,14"
FEGLI,0,"2014,14"
Non-Federal Life Insurance,0,"2014,14"
FEHB,0,"2014,14"
Non-Federal Health Benefits,0,"2014,14"
TSP Basic,19.99,"2014,14"
TSP Matching,0,"2014,14"
Non-Federal 401K,0,"2014,14"
FICA/Social Security (OASDI),123.95,"2014,15"
Medicare Tax,28.99,"2014,15"
Retirement,191.92,"2014,15"
Non-Federal Retirement,0,"2014,15"
FEGLI,0,"2014,15"
Non-Federal Life Insurance,0,"2014,15"
FEHB,0,"2014,15"
Non-Federal Health Benefits,0,"2014,15"
TSP Basic,19.99,"2014,15"
TSP Matching,0,"2014,15"
Non-Federal 401K,0,"2014,15"
FICA/Social Security (OASDI),123.95,"2014,16"
Medicare Tax,28.99,"2014,16"
Retirement,191.92,"2014,16"
Non-Federal Retirement,0,"2014,16"
FEGLI,0,"2014,16"
Non-Federal Life Insurance,0,"2014,16"
FEHB,0,"2014,16"
Non-Federal Health Benefits,0,"2014,16"
TSP Basic,19.99,"2014,16"
TSP Matching,0,"2014,16"
Non-Federal 401K,0,"2014,16"
FICA/Social Security (OASDI),123.95,"2014,17"
Medicare Tax,28.99,"2014,17"
Retirement,191.92,"2014,17"
Non-Federal Retirement,0,"2014,17"
FEGLI,0,"2014,17"
Non-Federal Life Insurance,0,"2014,17"
FEHB,0,"2014,17"
Non-Federal Health Benefits,0,"2014,17"
TSP Basic,19.99,"2014,17"
TSP Matching,0,"2014,17"
Non-Federal 401K,0,"2014,17"
FICA/Social Security (OASDI),123.95,"2014,18"
Medicare Tax,28.99,"2014,18"
Retirement,191.92,"2014,18"
Non-Federal Retirement,0,"2014,18"
FEGLI,0,"2014,18"
Non-Federal Life Insurance,0,"2014,18"
FEHB,0,"2014,18"
Non-Federal Health Benefits,0,"2014,18"
TSP Basic,19.99,"2014,18"
TSP Matching,79.97,"2014,18"
Non-Federal 401K,0,"2014,18"
FICA/Social Security (OASDI),123.95,"2014,19"
Medicare Tax,28.99,"2014,19"
Retirement,191.92,"2014,19"
Non-Federal Retirement,0,"2014,19"
FEGLI,0,"2014,19"
Non-Federal Life Insurance,0,"2014,19"
FEHB,0,"2014,19"
Non-Federal Health Benefits,0,"2014,19"
TSP Basic,19.99,"2014,19"
TSP Matching,79.97,"2014,19"
Non-Federal 401K,0,"2014,19"
FICA/Social Security (OASDI),123.95,"2014,20"
Medicare Tax,28.99,"2014,20"
Retirement,221.91,"2014,20"
Non-Federal Retirement,0,"2014,20"
FEGLI,0,"2014,20"
Non-Federal Life Insurance,0,"2014,20"
FEHB,0,"2014,20"
Non-Federal Health Benefits,0,"2014,20"
TSP Basic,19.99,"2014,20"
TSP Matching,79.97,"2014,20"
Non-Federal 401K,0,"2014,20"
FICA/Social Security (OASDI),123.95,"2014,21"
Medicare Tax,28.99,"2014,21"
Retirement,221.91,"2014,21"
Non-Federal Retirement,0,"2014,21"
FEGLI,0,"2014,21"
Non-Federal Life Insurance,0,"2014,21"
FEHB,0,"2014,21"
Non-Federal Health Benefits,0,"2014,21"
TSP Basic,19.99,"2014,21"
TSP Matching,79.97,"2014,21"
Non-Federal 401K,0,"2014,21"
FICA/Social Security (OASDI),123.95,"2014,22"
Medicare Tax,28.99,"2014,22"
Retirement,221.91,"2014,22"
Non-Federal Retirement,0,"2014,22"
FEGLI,0,"2014,22"
Non-Federal Life Insurance,0,"2014,22"
FEHB,0,"2014,22"
Non-Federal Health Benefits,0,"2014,22"
TSP Basic,19.99,"2014,22"
TSP Matching,79.97,"2014,22"
Non-Federal 401K,0,"2014,22"
FICA/Social Security (OASDI),123.95,"2014,23"
Medicare Tax,28.99,"2014,23"
Retirement,221.91,"2014,23"
Non-Federal Retirement,0,"2014,23"
FEGLI,0,"2014,23"
Non-Federal Life Insurance,0,"2014,23"
FEHB,0,"2014,23"
Non-Federal Health Benefits,0,"2014,23"
TSP Basic,19.99,"2014,23"
TSP Matching,79.97,"2014,23"
Non-Federal 401K,0,"2014,23"
FICA/Social Security (OASDI),123.95,"2014,24"
Medicare Tax,28.99,"2014,24"
Retirement,221.91,"2014,24"
Non-Federal Retirement,0,"2014,24"
FEGLI,0,"2014,24"
Non-Federal Life Insurance,0,"2014,24"
FEHB,0,"2014,24"
Non-Federal Health Benefits,0,"2014,24"
TSP Basic,19.99,"2014,24"
TSP Matching,79.97,"2014,24"
Non-Federal 401K,0,"2014,24"
FICA/Social Security (OASDI),123.95,"2014,25"
Medicare Tax,28.99,"2014,25"
Retirement,221.91,"2014,25"
Non-Federal Retirement,0,"2014,25"
FEGLI,0,"2014,25"
Non-Federal Life Insurance,0,"2014,25"
FEHB,0,"2014,25"
Non-Federal Health Benefits,0,"2014,25"
TSP Basic,19.99,"2014,25"
TSP Matching,79.97,"2014,25"
Non-Federal 401K,0,"2014,25"
FICA/Social Security (OASDI),123.95,"2014,26"
Medicare Tax,28.99,"2014,26"
Retirement,221.91,"2014,26"
Non-Federal Retirement,0,"2014,26"
FEGLI,0,"2014,26"
Non-Federal Life Insurance,0,"2014,26"
FEHB,0,"2014,26"
Non-Federal Health Benefits,0,"2014,26"
TSP Basic,19.99,"2014,26"
TSP Matching,79.97,"2014,26"
Non-Federal 401K,0,"2014,26"
FICA/Social Security (OASDI),125.19,"2015,01"
Medicare Tax,29.28,"2015,01"
Retirement,224.13,"2015,01"
Non-Federal Retirement,0,"2015,01"
FEGLI,0,"2015,01"
Non-Federal Life Insurance,0,"2015,01"
FEHB,136.15,"2015,01"
Non-Federal Health Benefits,0,"2015,01"
TSP Basic,20.19,"2015,01"
TSP Matching,80.77,"2015,01"
Non-Federal 401K,0,"2015,01"
FICA/Social Security (OASDI),125.19,"2015,02"
Medicare Tax,29.28,"2015,02"
Retirement,224.13,"2015,02"
Non-Federal Retirement,0,"2015,02"
FEGLI,0,"2015,02"
Non-Federal Life Insurance,0,"2015,02"
FEHB,136.15,"2015,02"
Non-Federal Health Benefits,0,"2015,02"
TSP Basic,20.19,"2015,02"
TSP Matching,80.77,"2015,02"
Non-Federal 401K,0,"2015,02"
FICA/Social Security (OASDI),125.19,"2015,03"
Medicare Tax,29.28,"2015,03"
Retirement,224.13,"2015,03"
Non-Federal Retirement,0,"2015,03"
FEGLI,0,"2015,03"
Non-Federal Life Insurance,0,"2015,03"
FEHB,136.15,"2015,03"
Non-Federal Health Benefits,0,"2015,03"
TSP Basic,20.19,"2015,03"
TSP Matching,80.77,"2015,03"
Non-Federal 401K,0,"2015,03"
FICA/Social Security (OASDI),125.19,"2015,04"
Medicare Tax,29.28,"2015,04"
Retirement,224.13,"2015,04"
Non-Federal Retirement,0,"2015,04"
FEGLI,0,"2015,04"
Non-Federal Life Insurance,0,"2015,04"
FEHB,136.15,"2015,04"
Non-Federal Health Benefits,0,"2015,04"
TSP Basic,20.19,"2015,04"
TSP Matching,80.77,"2015,04"
Non-Federal 401K,0,"2015,04"
FICA/Social Security (OASDI),125.19,"2015,05"
Medicare Tax,29.28,"2015,05"
Retirement,224.13,"2015,05"
Non-Federal Retirement,0,"2015,05"
FEGLI,0,"2015,05"
Non-Federal Life Insurance,0,"2015,05"
FEHB,136.15,"2015,05"
Non-Federal Health Benefits,0,"2015,05"
TSP Basic,20.19,"2015,05"
TSP Matching,80.77,"2015,05"
Non-Federal 401K,0,"2015,05"
FICA/Social Security (OASDI),125.19,"2015,06"
Medicare Tax,29.28,"2015,06"
Retirement,224.13,"2015,06"
Non-Federal Retirement,0,"2015,06"
FEGLI,0,"2015,06"
Non-Federal Life Insurance,0,"2015,06"
FEHB,136.15,"2015,06"
Non-Federal Health Benefits,0,"2015,06"
TSP Basic,20.19,"2015,06"
TSP Matching,80.77,"2015,06"
Non-Federal 401K,0,"2015,06"
FICA/Social Security (OASDI),125.19,"2015,07"
Medicare Tax,29.28,"2015,07"
Retirement,224.13,"2015,07"
Non-Federal Retirement,0,"2015,07"
FEGLI,0,"2015,07"
Non-Federal Life Insurance,0,"2015,07"
FEHB,136.15,"2015,07"
Non-Federal Health Benefits,0,"2015,07"
TSP Basic,20.19,"2015,07"
TSP Matching,80.77,"2015,07"
Non-Federal 401K,0,"2015,07"
FICA/Social Security (OASDI),125.19,"2015,08"
Medicare Tax,29.28,"2015,08"
Retirement,224.13,"2015,08"
Non-Federal Retirement,0,"2015,08"
FEGLI,0,"2015,08"
Non-Federal Life Insurance,0,"2015,08"
FEHB,136.15,"2015,08"
Non-Federal Health Benefits,0,"2015,08"
TSP Basic,20.19,"2015,08"
TSP Matching,80.77,"2015,08"
Non-Federal 401K,0,"2015,08"
FICA/Social Security (OASDI),125.19,"2015,09"
Medicare Tax,29.28,"2015,09"
Retirement,224.13,"2015,09"
Non-Federal Retirement,0,"2015,09"
FEGLI,0,"2015,09"
Non-Federal Life Insurance,0,"2015,09"
FEHB,136.15,"2015,09"
Non-Federal Health Benefits,0,"2015,09"
TSP Basic,20.19,"2015,09"
TSP Matching,80.77,"2015,09"
Non-Federal 401K,0,"2015,09"
FICA/Social Security (OASDI),125.19,"2015,10"
Medicare Tax,29.28,"2015,10"
Retirement,224.13,"2015,10"
Non-Federal Retirement,0,"2015,10"
FEGLI,0,"2015,10"
Non-Federal Life Insurance,0,"2015,10"
FEHB,136.15,"2015,10"
Non-Federal Health Benefits,0,"2015,10"
TSP Basic,20.19,"2015,10"
TSP Matching,80.77,"2015,10"
Non-Federal 401K,0,"2015,10"
FICA/Social Security (OASDI),125.19,"2015,11"
Medicare Tax,29.28,"2015,11"
Retirement,224.13,"2015,11"
