code,description,hours_pp,hours_ytd,amount_pp,amount_ytd,pay_period
1,REGULAR TIME,80,80,"1,999.20","1,999.20","2014,14"
75,RETIREMENT,,,87.96,87.96,"2014,14"
76,SOCIAL SECURITY (OASDI),,,123.95,123.95,"2014,14"
77,FEDERAL TAX EXEMPTS S02,,,242.83,242.83,"2014,14"
78,ST TAX DC EXEMPTS S01,,,118.3,118.3,"2014,14"
97,MEDICARE TAX WITHHELD,,,28.99,28.99,"2014,14"
1,REGULAR TIME,80,160,"1,999.20","3,998.40","2014,15"
75,RETIREMENT,,,87.96,175.92,"2014,15"
76,SOCIAL SECURITY (OASDI),,,123.95,247.9,"2014,15"
77,FEDERAL TAX EXEMPTS S02,,,242.83,485.66,"2014,15"
78,ST TAX DC EXEMPTS S01,,,118.3,236.6,"2014,15"
88,CHKING/SAVING ********,,,13,13,"2014,15"
97,MEDICARE TAX WITHHELD,,,28.99,57.98,"2014,15"
1,REGULAR TIME,80,240,"1,999.20","5,997.60","2014,16"
75,RETIREMENT,,,87.96,263.88,"2014,16"
76,SOCIAL SECURITY (OASDI),,,123.95,371.85,"2014,16"
77,FEDERAL TAX EXEMPTS S02,,,242.83,728.49,"2014,16"
78,ST TAX DC EXEMPTS S01,,,118.3,354.9,"2014,16"
88,CHKING/SAVING ********,,,13,26,"2014,16"
97,MEDICARE TAX WITHHELD,,,28.99,86.97,"2014,16"
1,REGULAR TIME,70.25,310.25,"1,755.55","7,753.15","2014,17"
66,OTHER LEAVE,9.75,9.75,243.65,243.65,"2014,17"
75,RETIREMENT,,,87.96,351.84,"2014,17"
76,SOCIAL SECURITY (OASDI),,,123.95,495.8,"2014,17"
77,FEDERAL TAX EXEMPTS S02,,,242.83,971.32,"2014,17"
78,ST TAX DC EXEMPTS S01,,,118.3,473.2,"2014,17"
88,CHKING/SAVING ********,,,13,39,"2014,17"
97,MEDICARE TAX WITHHELD,,,28.99,115.96,"2014,17"
1,REGULAR TIME,80,390.25,"1,999.20","9,752.35","2014,18"
66,OTHER LEAVE,,9.75,,243.65,"2014,18"
75,RETIREMENT,,,87.96,439.8,"2014,18"
75,TSP-FERS,,,99.96,99.96,"2014,18"
76,SOCIAL SECURITY (OASDI),,,123.95,619.75,"2014,18"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,189.16","2014,18"
78,ST TAX DC EXEMPTS S01,,,109.81,583.01,"2014,18"
88,CHKING/SAVING ********,,,13,52,"2014,18"
97,MEDICARE TAX WITHHELD,,,28.99,144.95,"2014,18"
1,REGULAR TIME,80,470.25,"1,999.20","11,751.55","2014,19"
66,OTHER LEAVE,,9.75,,243.65,"2014,19"
75,RETIREMENT,,,87.96,527.76,"2014,19"
75,TSP-FERS,,,99.96,199.92,"2014,19"
76,SOCIAL SECURITY (OASDI),,,123.95,743.7,"2014,19"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,407.00","2014,19"
78,ST TAX DC EXEMPTS S01,,,109.81,692.82,"2014,19"
88,CHKING/SAVING ********,,,13,65,"2014,19"
97,MEDICARE TAX WITHHELD,,,28.99,173.94,"2014,19"
1,REGULAR TIME,72,542.25,"1,799.28","13,550.83","2014,20"
66,OTHER LEAVE,8,17.75,199.92,443.57,"2014,20"
75,RETIREMENT,,,87.96,615.72,"2014,20"
75,TSP-FERS,,,99.96,299.88,"2014,20"
76,SOCIAL SECURITY (OASDI),,,123.95,867.65,"2014,20"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,624.84","2014,20"
78,ST TAX DC EXEMPTS S01,,,109.81,802.63,"2014,20"
88,CHKING/SAVING ********,,,13,78,"2014,20"
97,MEDICARE TAX WITHHELD,,,28.99,202.93,"2014,20"
1,REGULAR TIME,80,622.25,"1,999.20","15,550.03","2014,21"
66,OTHER LEAVE,,17.75,,443.57,"2014,21"
75,RETIREMENT,,,87.96,703.68,"2014,21"
75,TSP-FERS,,,99.96,399.84,"2014,21"
76,SOCIAL SECURITY (OASDI),,,123.95,991.6,"2014,21"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,842.68","2014,21"
78,ST TAX DC EXEMPTS S01,,,109.81,912.44,"2014,21"
88,CHKING/SAVING ********,,,13,91,"2014,21"
97,MEDICARE TAX WITHHELD,,,28.99,231.92,"2014,21"
1,REGULAR TIME,72,694.25,"1,799.28","17,349.31","2014,22"
66,OTHER LEAVE,8,25.75,199.92,643.49,"2014,22"
75,RETIREMENT,,,87.96,791.64,"2014,22"
75,TSP-FERS,,,99.96,499.8,"2014,22"
76,SOCIAL SECURITY (OASDI),,,123.95,"1,115.55","2014,22"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"2,060.52","2014,22"
78,ST TAX DC EXEMPTS S01,,,109.81,"1,022.25","2014,22"
88,CHKING/SAVING ********,,,13,104,"2014,22"
97,MEDICARE TAX WITHHELD,,,28.99,260.91,"2014,22"
