pay_period,agency,pay_plan,salary,scd,pay_period_range
"2014,14",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(07/13/2014  to  07/26/2014)
"2014,15",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(07/27/2014  to  08/09/2014)
"2014,16",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(08/10/2014  to  08/23/2014)
"2014,17",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(08/24/2014  to  09/06/2014)
"2014,18",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(09/07/2014  to  09/20/2014)
"2014,19",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(09/21/2014  to  10/04/2014)
"2014,20",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(10/05/2014  to  10/18/2014)
"2014,21",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(10/19/2014  to  11/01/2014)
"2014,22",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(11/02/2014  to  11/15/2014)
"2014,23",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(11/16/2014  to  11/29/2014)
"2014,24",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(11/30/2014  to  12/13/2014)
"2014,25",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(12/14/2014  to  12/27/2014)
"2014,26",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,146.00 ",7/13/2014,(12/28/2014  to  01/10/2015)
"2015,01",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(01/11/2015  to  01/24/2015)
"2015,02",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(01/25/2015  to  02/07/2015)
"2015,03",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(02/08/2015  to  02/21/2015)
"2015,04",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(02/22/2015  to  03/07/2015)
"2015,05",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(03/08/2015  to  03/21/2015)
"2015,06",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(03/22/2015  to  04/04/2015)
"2015,07",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(04/05/2015  to  04/18/2015)
"2015,08",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(04/19/2015  to  05/02/2015)
"2015,09",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(05/03/2015  to  05/16/2015)
"2015,10",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(05/17/2015  to  05/30/2015)
"2015,11",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(05/31/2015  to  06/13/2015)
"2015,12",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(06/14/2015  to  06/27/2015)
"2015,13",BUREAU OF LABOR STATISTICS,GS  09  01,"$52,668.00 ",7/13/2014,(06/28/2015  to  07/11/2015)
"2015,14",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(07/12/2015  to  07/25/2015)
"2015,15",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(07/26/2015  to  08/08/2015)
"2015,16",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(08/09/2015  to  08/22/2015)
"2015,17",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(08/23/2015  to  09/05/2015)
"2015,18",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(09/06/2015  to  09/19/2015)
"2015,19",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(09/20/2015  to  10/03/2015)
"2015,20",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(10/04/2015  to  10/17/2015)
"2015,21",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(10/18/2015  to  10/31/2015)
"2015,22",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(11/01/2015  to  11/14/2015)
"2015,23",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(11/15/2015  to  11/28/2015)
"2015,24",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(11/29/2015  to  12/12/2015)
"2015,25",BUREAU OF LABOR STATISTICS,GS  11  01,"$63,722.00 ",7/13/2014,(12/13/2015  to  12/26/2015)
