date,time-in,time-out,shift_total,lunch,daily_total,transaction
2014-07-14,08:15:00,17:37:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2014-07-15,08:22:00,17:31:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2014-07-16,08:07:00,17:28:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2014-07-17,08:29:00,17:01:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-07-18,08:18:00,17:48:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2014-07-21,09:17:00,18:40:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2014-07-22,08:20:00,17:27:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-07-23,08:39:00,17:43:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-07-24,08:29:00,17:36:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-07-25,08:33:00,11:22:00,02:15:00,00:30:00,08:45:00,01 - Regular Base Pay
2014-07-25,11:22:00,17:52:00,06:30:00,00:00:00,08:45:00,29 - Credit Time Earned
2014-07-28,08:30:00,17:15:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-07-29,09:30:00,18:03:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-07-30,08:32:00,17:10:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-07-31,08:34:00,17:20:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-08-01,08:40:00,17:08:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-04,08:43:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-05,08:31:00,16:55:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-06,08:44:00,17:45:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-08-07,08:41:00,17:22:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-08-08,08:43:00,15:45:00,06:30:00,00:30:00,06:30:00,01 - Regular Base Pay
2014-08-11,08:21:00,16:55:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-12,08:48:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-13,08:28:00,17:03:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-14,08:34:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-15,08:33:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-18,08:38:00,17:15:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-19,08:34:00,17:06:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-20,08:33:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-21,08:30:00,17:03:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-22,08:30:00,17:00:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-25,08:35:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
